Longitude,Latitude,SVD1_SST,SVD1_TCF
22.5000,32.5000,0.00000,0.00294
22.5000,37.5000,0.00000,0.00651
22.5000,42.5000,0.00000,0.00392
22.5000,47.5000,0.00000,0.00042
22.5000,52.5000,0.00000,-0.00000
22.5000,57.5000,0.69655,-0.00000
22.5000,62.5000,0.00000,-0.00000
22.5000,67.5000,0.00000,-0.00000
22.5000,72.5000,0.67077,-0.00000
22.5000,77.5000,0.00000,-0.00000
22.5000,82.5000,0.68735,-0.00000
22.5000,87.5000,0.30991,-0.00000
27.5000,-87.5000,0.00000,-0.00000
27.5000,-82.5000,0.00000,-0.00000
27.5000,-77.5000,0.00000,-0.00000
27.5000,-72.5000,0.00000,-0.00000
27.5000,-67.5000,0.13457,-0.00000
27.5000,-62.5000,0.14779,-0.00000
27.5000,-57.5000,0.31260,-0.00000
27.5000,-52.5000,0.34695,-0.00000
27.5000,-47.5000,0.47234,-0.00000
27.5000,-42.5000,0.55492,-0.00126
27.5000,-37.5000,0.40892,-0.00117
27.5000,-32.5000,0.00000,0.00322
27.5000,-27.5000,0.00000,-0.00336
27.5000,-22.5000,0.00000,-0.01584
27.5000,-17.5000,0.00000,-0.01043
27.5000,-12.5000,0.00000,-0.00108
27.5000,-7.5000,0.00000,-0.00000
27.5000,-2.5000,0.00000,-0.00000
27.5000,2.5000,0.00000,-0.00000
27.5000,7.5000,0.00000,-0.00000
27.5000,12.5000,0.00000,-0.00000
27.5000,17.5000,0.00000,-0.00000
27.5000,22.5000,0.00000,-0.00000
27.5000,27.5000,0.00000,-0.00000
27.5000,32.5000,0.52375,-0.00000
27.5000,37.5000,0.00000,-0.00000
27.5000,42.5000,0.62011,-0.00000
27.5000,47.5000,0.00000,-0.00000
27.5000,52.5000,0.00000,-0.00000
27.5000,57.5000,0.00000,-0.00000
27.5000,62.5000,0.00000,-0.00000
27.5000,67.5000,0.00000,-0.00000
27.5000,72.5000,0.73586,-0.00000
27.5000,77.5000,0.86328,-0.00000
27.5000,82.5000,0.67627,-0.00000
27.5000,87.5000,0.28981,-0.00000
32.5000,-87.5000,0.00000,-0.00000
32.5000,-82.5000,0.00000,-0.00000
32.5000,-77.5000,0.00000,-0.00000
32.5000,-72.5000,0.00000,-0.00000
32.5000,-67.5000,0.13459,-0.00000
32.5000,-62.5000,0.16309,-0.00000
32.5000,-57.5000,0.32048,-0.00000
32.5000,-52.5000,0.35549,-0.00000
32.5000,-47.5000,0.53063,0.00014
32.5000,-42.5000,0.55507,-0.00244
32.5000,-37.5000,0.26760,-0.00005
32.5000,-32.5000,0.40718,-0.00205
32.5000,-27.5000,0.00000,-0.05047
32.5000,-22.5000,0.00000,-0.09151
32.5000,-17.5000,0.00000,-0.06320
32.5000,-12.5000,0.00000,-0.02454
32.5000,-7.5000,0.00000,-0.00594
32.5000,-2.5000,0.00000,0.00103
32.5000,2.5000,0.00000,-0.00000
32.5000,7.5000,0.00000,-0.00000
32.5000,12.5000,0.00000,-0.00000
32.5000,17.5000,0.00000,-0.00000
32.5000,22.5000,0.00000,-0.00000
32.5000,27.5000,0.00000,-0.00000
32.5000,32.5000,0.56003,-0.00000
32.5000,37.5000,0.00000,-0.00000
32.5000,42.5000,0.60708,-0.00000
32.5000,47.5000,0.00000,-0.00000
32.5000,52.5000,0.00000,-0.00000
32.5000,57.5000,0.00000,-0.00000
32.5000,62.5000,0.00000,-0.00000
32.5000,67.5000,0.00000,-0.00000
32.5000,72.5000,0.71157,-0.00000
32.5000,77.5000,0.77008,-0.00000
32.5000,82.5000,0.54822,-0.00000
32.5000,87.5000,0.26785,-0.00000
37.5000,-87.5000,0.00000,-0.00000
37.5000,-82.5000,0.00000,-0.00000
37.5000,-77.5000,0.00000,-0.00000
37.5000,-72.5000,0.00000,-0.00000
37.5000,-67.5000,0.14325,-0.00000
37.5000,-62.5000,0.18806,-0.00000
37.5000,-57.5000,0.31822,-0.00000
37.5000,-52.5000,0.36286,-0.00000
37.5000,-47.5000,0.53974,-0.00053
37.5000,-42.5000,0.65948,-0.00725
37.5000,-37.5000,0.29909,-0.00831
37.5000,-32.5000,0.43972,-0.02726
37.5000,-27.5000,0.51618,-0.14360
37.5000,-22.5000,0.51717,-0.30863
37.5000,-17.5000,0.50729,-0.37298
37.5000,-12.5000,0.00000,-0.25401
37.5000,-7.5000,0.00000,-0.07311
37.5000,-2.5000,0.00000,-0.01020
37.5000,2.5000,0.00000,-0.00883
37.5000,7.5000,0.00000,0.00030
37.5000,12.5000,0.00000,0.00060
37.5000,17.5000,0.00000,0.00030
37.5000,22.5000,0.52356,-0.00000
37.5000,27.5000,0.00000,-0.00000
37.5000,32.5000,0.00000,-0.00000
37.5000,37.5000,0.00000,-0.00000
37.5000,42.5000,0.56163,-0.00000
