Longitude,Latitude,SVD1_SST,SVD1_TCF
22.5000,37.5000,0.00000,0.00536
22.5000,42.5000,0.00000,0.00236
22.5000,47.5000,0.00000,0.00010
22.5000,52.5000,0.00000,0.00000
22.5000,57.5000,0.17606,-0.00000
22.5000,62.5000,0.00000,-0.00000
22.5000,67.5000,0.00000,-0.00000
22.5000,72.5000,0.24586,-0.00000
22.5000,77.5000,0.00000,-0.00000
22.5000,82.5000,0.02243,-0.00000
22.5000,87.5000,0.01129,-0.00000
27.5000,-87.5000,0.00000,-0.00000
27.5000,-82.5000,0.00000,-0.00000
27.5000,-77.5000,0.00000,-0.00000
27.5000,-72.5000,0.00000,0.00002
27.5000,-67.5000,0.03447,0.00008
27.5000,-62.5000,0.03555,0.00010
27.5000,-57.5000,0.04701,0.00001
27.5000,-52.5000,0.04585,-0.00031
27.5000,-47.5000,0.05021,-0.00089
27.5000,-42.5000,0.04097,-0.00127
27.5000,-37.5000,0.06269,-0.00114
27.5000,-32.5000,0.00000,-0.00143
27.5000,-27.5000,0.00000,-0.00163
27.5000,-22.5000,0.00000,0.00049
27.5000,-17.5000,0.00000,0.00213
27.5000,-12.5000,0.00000,0.00095
27.5000,-7.5000,0.00000,-0.00001
27.5000,-2.5000,0.00000,0.00001
27.5000,2.5000,0.00000,-0.00000
27.5000,7.5000,0.00000,-0.00005
27.5000,12.5000,0.00000,-0.00011
27.5000,17.5000,0.00000,-0.00005
27.5000,22.5000,0.00000,-0.00000
27.5000,27.5000,0.00000,0.00041
27.5000,32.5000,0.11206,0.00138
27.5000,37.5000,0.00000,0.00152
27.5000,42.5000,0.12579,0.00053
27.5000,47.5000,0.00000,-0.00002
27.5000,52.5000,0.00000,-0.00000
27.5000,57.5000,0.00000,-0.00000
27.5000,62.5000,0.00000,-0.00000
27.5000,67.5000,0.00000,-0.00000
27.5000,72.5000,0.20592,-0.00000
27.5000,77.5000,0.12161,-0.00000
27.5000,82.5000,0.02245,-0.00000
27.5000,87.5000,0.01423,-0.00000
32.5000,-87.5000,0.00000,-0.00000
32.5000,-82.5000,0.00000,-0.00000
32.5000,-77.5000,0.00000,-0.00000
32.5000,-72.5000,0.00000,0.00015
32.5000,-67.5000,0.03226,0.00041
32.5000,-62.5000,0.03559,0.00039
32.5000,-57.5000,0.05410,0.00018
32.5000,-52.5000,0.04731,-0.00053
32.5000,-47.5000,0.04127,-0.00164
32.5000,-42.5000,0.03462,-0.00136
32.5000,-37.5000,0.07081,0.00023
32.5000,-32.5000,0.10175,0.00226
32.5000,-27.5000,0.00000,0.00625
32.5000,-22.5000,0.00000,0.00682
32.5000,-17.5000,0.00000,0.00054
32.5000,-12.5000,0.00000,-0.00106
32.5000,-7.5000,0.00000,0.00210
32.5000,-2.5000,0.00000,0.00142
32.5000,2.5000,0.00000,-0.00001
32.5000,7.5000,0.00000,-0.00000
32.5000,12.5000,0.00000,-0.00000
32.5000,17.5000,0.00000,-0.00000
32.5000,22.5000,0.00000,-0.00000
32.5000,27.5000,0.00000,-0.00061
32.5000,32.5000,0.12411,-0.00131
32.5000,37.5000,0.00000,-0.00085
32.5000,42.5000,0.12542,-0.00021
32.5000,47.5000,0.00000,-0.00006
32.5000,52.5000,0.00000,-0.00000
32.5000,57.5000,0.00000,-0.00000
32.5000,62.5000,0.00000,-0.00000
32.5000,67.5000,0.00000,-0.00000
32.5000,72.5000,0.16486,-0.00000
32.5000,77.5000,0.08795,-0.00000
32.5000,82.5000,0.02658,-0.00000
32.5000,87.5000,0.01694,-0.00000
37.5000,-87.5000,0.00000,-0.00000
37.5000,-82.5000,0.00000,-0.00000
37.5000,-77.5000,0.00000,-0.00000
37.5000,-72.5000,0.00000,0.00029
37.5000,-67.5000,0.03319,0.00074
37.5000,-62.5000,0.03750,0.00071
37.5000,-57.5000,0.05431,0.00050
37.5000,-52.5000,0.04882,-0.00000
37.5000,-47.5000,0.04038,-0.00050
37.5000,-42.5000,0.03026,0.00075
37.5000,-37.5000,0.07331,0.00005
37.5000,-32.5000,0.09381,0.00264
37.5000,-27.5000,0.11329,0.00550
37.5000,-22.5000,0.12402,-0.01341
37.5000,-17.5000,0.12798,-0.02542
37.5000,-12.5000,0.00000,-0.00019
37.5000,-7.5000,0.00000,0.01735
37.5000,-2.5000,0.00000,0.00672
37.5000,2.5000,0.00000,-0.00069
37.5000,7.5000,0.00000,-0.00013
37.5000,12.5000,0.00000,-0.00030
37.5000,17.5000,0.00000,-0.00015
37.5000,22.5000,0.11350,-0.00000
37.5000,27.5000,0.00000,-0.00048
37.5000,32.5000,0.00000,-0.00103
37.5000,37.5000,0.00000,-0.00065
37.5000,42.5000,0.12259,-0.00012
37.5000,47.5000,0.00000,-0.00002
37.5000,52.5000,0.00000,-0.00000
