Longitude,Latitude,Trend,P-Value
22.5000,-22.5000,-8.78225e-06,4.85948e-01
22.5000,-17.5000,-1.63678e-05,3.45561e-01
22.5000,-12.5000,-7.98444e-06,5.36641e-01
22.5000,-7.5000,0.00000e+00,9.99000e+33
22.5000,-2.5000,0.00000e+00,9.99000e+33
22.5000,2.5000,0.00000e+00,9.99000e+33
22.5000,7.5000,0.00000e+00,9.99000e+33
22.5000,12.5000,0.00000e+00,9.99000e+33
22.5000,17.5000,0.00000e+00,9.99000e+33
22.5000,22.5000,0.00000e+00,9.99000e+33
22.5000,27.5000,2.15868e-04,1.60457e-01
22.5000,32.5000,4.69409e-04,1.38159e-01
22.5000,37.5000,3.10645e-04,2.18858e-01
22.5000,42.5000,7.65341e-05,3.69068e-01
22.5000,47.5000,1.94304e-05,4.48030e-01
22.5000,52.5000,0.00000e+00,9.99000e+33
22.5000,57.5000,0.00000e+00,9.99000e+33
22.5000,62.5000,0.00000e+00,9.99000e+33
22.5000,67.5000,1.27755e-05,7.86988e-01
22.5000,72.5000,2.55510e-05,7.86988e-01
22.5000,77.5000,1.27755e-05,7.86988e-01
22.5000,82.5000,0.00000e+00,9.99000e+33
22.5000,87.5000,0.00000e+00,9.99000e+33
27.5000,-87.5000,0.00000e+00,9.99000e+33
27.5000,-82.5000,0.00000e+00,9.99000e+33
27.5000,-77.5000,0.00000e+00,9.99000e+33
27.5000,-72.5000,-3.46035e-06,8.27490e-01
27.5000,-67.5000,-1.55716e-05,8.27490e-01
27.5000,-62.5000,-2.10284e-05,9.71663e-01
27.5000,-57.5000,-5.45705e-06,7.68245e-01
27.5000,-52.5000,1.11788e-05,5.90127e-01
27.5000,-47.5000,1.33070e-05,3.14254e-01
27.5000,-42.5000,-4.64483e-05,8.18463e-01
27.5000,-37.5000,-2.19451e-04,3.04346e-01
27.5000,-32.5000,-3.93383e-04,9.53992e-02
27.5000,-27.5000,-5.35908e-04,1.18723e-01
27.5000,-22.5000,-5.33900e-04,2.04189e-01
27.5000,-17.5000,-2.46045e-04,4.04136e-01
27.5000,-12.5000,-1.79595e-05,6.55105e-01
27.5000,-7.5000,4.12443e-06,4.93778e-01
27.5000,-2.5000,0.00000e+00,9.99000e+33
27.5000,2.5000,0.00000e+00,9.99000e+33
27.5000,7.5000,0.00000e+00,9.99000e+33
27.5000,12.5000,0.00000e+00,9.99000e+33
27.5000,17.5000,0.00000e+00,9.99000e+33
27.5000,22.5000,0.00000e+00,9.99000e+33
27.5000,27.5000,2.04020e-04,8.41162e-02
27.5000,32.5000,4.04451e-04,1.55011e-01
27.5000,37.5000,2.05891e-04,3.57585e-01
27.5000,42.5000,1.45101e-05,9.81370e-01
27.5000,47.5000,9.04973e-06,6.26054e-01
27.5000,52.5000,0.00000e+00,9.99000e+33
27.5000,57.5000,0.00000e+00,9.99000e+33
27.5000,62.5000,0.00000e+00,9.99000e+33
27.5000,67.5000,4.25849e-06,7.86988e-01
27.5000,72.5000,8.51699e-06,7.86988e-01
27.5000,77.5000,4.25849e-06,7.86988e-01
27.5000,82.5000,0.00000e+00,9.99000e+33
27.5000,87.5000,0.00000e+00,9.99000e+33
32.5000,-87.5000,0.00000e+00,9.99000e+33
32.5000,-82.5000,0.00000e+00,9.99000e+33
32.5000,-77.5000,0.00000e+00,9.99000e+33
32.5000,-72.5000,0.00000e+00,9.99000e+33
32.5000,-67.5000,-6.92070e-06,8.27490e-01
32.5000,-62.5000,-1.14461e-05,9.71663e-01
32.5000,-57.5000,9.98067e-06,6.26014e-01
32.5000,-52.5000,5.98868e-05,1.02667e-01
32.5000,-47.5000,6.94649e-05,3.11515e-01
32.5000,-42.5000,-4.52651e-05,8.75128e-01
32.5000,-37.5000,-5.35555e-04,5.15941e-02
32.5000,-32.5000,-1.42603e-03,1.18769e-02
32.5000,-27.5000,-3.58929e-03,2.85697e-02
32.5000,-22.5000,-4.65464e-03,8.80948e-02
32.5000,-17.5000,-1.91411e-03,4.98115e-01
32.5000,-12.5000,9.32562e-05,4.83045e-01
32.5000,-7.5000,-9.06155e-05,4.60887e-01
32.5000,-2.5000,-6.72102e-05,2.09406e-01
32.5000,2.5000,5.58949e-06,4.36956e-01
32.5000,7.5000,0.00000e+00,9.99000e+33
32.5000,12.5000,0.00000e+00,9.99000e+33
32.5000,17.5000,0.00000e+00,9.99000e+33
32.5000,22.5000,0.00000e+00,9.99000e+33
32.5000,27.5000,1.05802e-04,1.40882e-01
32.5000,32.5000,2.38888e-04,1.22909e-01
32.5000,37.5000,1.62099e-04,2.41412e-01
32.5000,42.5000,3.07433e-05,7.51426e-01
32.5000,47.5000,1.73006e-06,1.00000e+00
