Longitude,Latitude,Trend,P-Value
7.5000,-32.5000,5.33753e-06,9.71663e-01
7.5000,-27.5000,7.48737e-05,2.97816e-01
7.5000,-22.5000,4.33545e-05,7.44217e-01
7.5000,-17.5000,2.08367e-04,4.31727e-01
7.5000,-12.5000,8.51270e-04,2.92639e-01
7.5000,-7.5000,8.63846e-04,1.91374e-01
7.5000,-2.5000,2.39817e-04,5.78140e-01
7.5000,2.5000,-2.20101e-05,8.22035e-01
7.5000,7.5000,-3.56155e-06,9.15132e-01
7.5000,12.5000,1.80254e-05,9.85567e-01
7.5000,17.5000,9.27122e-06,9.29235e-01
7.5000,22.5000,-2.94967e-06,9.09777e-01
7.5000,27.5000,2.78118e-05,9.25004e-01
7.5000,32.5000,1.88970e-04,2.24025e-01
7.5000,37.5000,3.31824e-04,1.57968e-01
7.5000,42.5000,2.08407e-04,1.69236e-01
7.5000,47.5000,3.81625e-05,6.11272e-01
7.5000,52.5000,4.21389e-07,9.65236e-01
7.5000,57.5000,0.00000e+00,9.99000e+33
7.5000,62.5000,0.00000e+00,9.99000e+33
7.5000,67.5000,0.00000e+00,9.99000e+33
7.5000,72.5000,0.00000e+00,9.99000e+33
7.5000,77.5000,0.00000e+00,9.99000e+33
7.5000,82.5000,0.00000e+00,9.99000e+33
7.5000,87.5000,0.00000e+00,9.99000e+33
12.5000,-87.5000,0.00000e+00,9.99000e+33
12.5000,-82.5000,0.00000e+00,9.99000e+33
12.5000,-77.5000,0.00000e+00,9.99000e+33
12.5000,-72.5000,0.00000e+00,9.99000e+33
12.5000,-67.5000,0.00000e+00,9.99000e+33
12.5000,-62.5000,0.00000e+00,9.99000e+33
12.5000,-57.5000,1.26446e-06,8.82195e-01
12.5000,-52.5000,3.79339e-06,8.82195e-01
12.5000,-47.5000,-1.82594e-06,9.27931e-01
12.5000,-42.5000,-7.44726e-06,9.45004e-01
12.5000,-37.5000,-9.86743e-07,8.92021e-01
12.5000,-32.5000,1.68434e-06,8.84366e-01
12.5000,-27.5000,3.11862e-05,3.09433e-01
12.5000,-22.5000,8.62540e-05,8.00065e-01
12.5000,-17.5000,1.35285e-04,4.32378e-01
12.5000,-12.5000,1.64236e-04,7.44085e-01
12.5000,-7.5000,1.15918e-04,6.81048e-01
12.5000,-2.5000,3.86429e-05,6.73306e-01
12.5000,2.5000,6.32232e-06,8.82195e-01
12.5000,7.5000,4.77602e-06,9.29235e-01
12.5000,12.5000,1.68627e-06,9.43362e-01
12.5000,17.5000,-1.09555e-05,9.43362e-01
12.5000,22.5000,-7.86578e-06,9.09777e-01
12.5000,27.5000,9.17189e-05,7.36621e-01
12.5000,32.5000,4.40350e-04,1.84049e-01
12.5000,37.5000,6.45998e-04,6.63782e-02
12.5000,42.5000,3.38665e-04,8.58505e-02
12.5000,47.5000,4.21404e-05,4.02667e-01
12.5000,52.5000,8.42631e-07,9.57506e-01
12.5000,57.5000,0.00000e+00,9.99000e+33
12.5000,62.5000,0.00000e+00,9.99000e+33
12.5000,67.5000,0.00000e+00,9.99000e+33
12.5000,72.5000,0.00000e+00,9.99000e+33
12.5000,77.5000,0.00000e+00,9.99000e+33
12.5000,82.5000,0.00000e+00,9.99000e+33
12.5000,87.5000,0.00000e+00,9.99000e+33
17.5000,-87.5000,0.00000e+00,9.99000e+33
17.5000,-82.5000,0.00000e+00,9.99000e+33
17.5000,-77.5000,0.00000e+00,9.99000e+33
17.5000,-72.5000,0.00000e+00,9.99000e+33
17.5000,-67.5000,0.00000e+00,9.99000e+33
17.5000,-62.5000,0.00000e+00,9.99000e+33
17.5000,-57.5000,2.52893e-06,8.82195e-01
17.5000,-52.5000,8.85125e-06,8.82195e-01
17.5000,-47.5000,2.82129e-07,8.36647e-01
17.5000,-42.5000,-2.66924e-05,7.79019e-01
17.5000,-37.5000,-4.15850e-05,7.53291e-01
17.5000,-32.5000,-3.10471e-05,8.04945e-01
17.5000,-27.5000,-1.02544e-05,2.11467e-01
17.5000,-22.5000,1.48910e-05,5.63887e-01
17.5000,-17.5000,-6.20747e-10,5.33813e-01
17.5000,-12.5000,-7.65615e-05,2.85297e-01
17.5000,-7.5000,-9.28559e-05,9.53786e-02
17.5000,-2.5000,-3.13263e-05,8.19030e-01
17.5000,2.5000,0.00000e+00,9.99000e+33
17.5000,7.5000,-3.23049e-06,9.43362e-01
17.5000,12.5000,-1.33435e-05,9.43362e-01
17.5000,17.5000,-1.69956e-05,9.43362e-01
17.5000,22.5000,-6.88255e-06,9.09777e-01
17.5000,27.5000,9.70481e-05,7.18508e-01
17.5000,32.5000,5.54963e-04,3.16290e-01
17.5000,37.5000,8.47438e-04,6.12123e-02
17.5000,42.5000,4.18600e-04,4.54480e-02
17.5000,47.5000,2.94980e-05,3.02825e-01
17.5000,52.5000,4.21093e-07,9.71663e-01
17.5000,57.5000,0.00000e+00,9.99000e+33
17.5000,62.5000,0.00000e+00,9.99000e+33
17.5000,67.5000,0.00000e+00,9.99000e+33
17.5000,72.5000,0.00000e+00,9.99000e+33
17.5000,77.5000,0.00000e+00,9.99000e+33
17.5000,82.5000,0.00000e+00,9.99000e+33
17.5000,87.5000,0.00000e+00,9.99000e+33
22.5000,-87.5000,0.00000e+00,9.99000e+33
22.5000,-82.5000,0.00000e+00,9.99000e+33
22.5000,-77.5000,0.00000e+00,9.99000e+33
